id,text,anger,disgust,fear,joy,sadness,surprise
1,Mortar assault leaves at least 18 dead,22,2,60,0,64,0
2,Goal delight for Sheva,0,0,0,93,0,38
3,Nigeria hostage feared dead is freed,18,0,52,66,20,65
4,Bombers kill shoppers,66,39,94,0,86,0
5,"Vegetables, not fruit, slow brain decline",0,0,25,26,2,46
6,PM: Havana deal a good experiment,0,0,0,34,0,28
7,Kate is marrying Doherty,0,0,0,71,0,41
8,NASA revisiting life on Mars question,0,0,0,23,0,32
9,"Happy birthday, iPod",0,0,0,71,0,3
10,Alonso would be happy to retire with three titles,0,0,0,61,24,0
11,Madonna's New Tot 'Happy at Home' in London,0,0,0,63,0,0
12,Nicole Kidman asks dad to help stop husband's drinking,14,0,20,0,28,16
13,United Finds Good Connection in Win,0,0,0,63,0,6
14,'Runway': Making Good Without Making Nice,0,3,0,22,0,6
15,"We were 'arrogant and stupid' over Iraq, says US diplomat",42,30,25,23,81,45
16,Bad reasons to be good,9,3,0,15,25,3
17,Madonna's new baby's daddy didn't realize adoption was `for good',0,0,2,9,7,62
18,Women in their 60s 'are perfectly good mothers',19,19,23,24,26,11
19,We're a pretty kind 'bully',0,0,0,13,0,0
20,Moderate drinking reduces men's heart attack risk,0,4,26,52,9,16
21,Tom Cruise and Katie Holmes set wedding date,0,0,0,60,0,10
22,Kidnapped AP photographer freed in Gaza,30,28,50,49,31,37
23,"Bush Insists Troops Stay in Iraq, Predicts Midterm Victory",34,52,46,6,39,0
24,Hurricane Paul Weakens To Tropical Storm,0,0,34,33,0,37
25,UK announces immigration restrictions,42,40,39,0,41,16
26,Three found alive from missing Russian ship -report,0,0,28,84,13,63
27,Poison Pill to Swallow: Hawks Hurting After Loss to Vikes,0,8,23,0,26,0
28,Injured Marathon Winner Leaves Hospital,14,11,7,67,21,0
29,Hacker unlocks Apple music download protection,21,14,12,25,0,52
30,Spanish journalist seized in Gaza,61,51,65,0,52,21
31,Sudan urges UN to replace its special envoy,12,6,0,0,0,16
32,Resolution approved for international games,0,0,0,45,0,15
33,Pair of Satellites Will Document Sun in 3-D,0,0,0,43,0,32
34,Martian Life Could Have Evaded Detection by Viking Landers,5,0,0,3,5,36
35,The sweet tune of an anniversary,0,0,0,83,0,0
36,Did Viking Probes Miss Life on Mars?,11,0,6,0,10,41
37,Diplomat acknowledges US arrogance in Iraq,45,44,0,14,18,26
38,More Human Remains Found at Ground Zero,39,22,6,0,68,27
39,How to Prevent Iraq From Getting Even Worse,31,39,67,0,33,0
40,Tensions as Hungary marks uprising,25,0,32,0,32,7
41,Stanford study warns of Internet addiction,0,13,23,0,9,3
42,No evidence of ice reserves on the moon,0,0,0,0,16,10
43,A Picture and A Thousand Words,0,0,0,0,0,0
44,Parachutist dies at bridge-jump festival,6,6,33,6,88,0
45,US Troops Killed In October In Iraq,46,39,41,0,77,0
46,"Chefs not counting calories, study finds",15,0,5,0,21,0
47,Deaths linked to flu vaccine,34,0,48,0,71,0
48,Perfect lives lose their focus,0,0,5,34,16,6
49,Bread-Heavy Diet Linked to Kidney Cancer,1,5,55,0,42,23
50,Beating poverty in a small way,0,0,8,32,28,0
51,Israel insists on Lebanon overflights,39,31,4,0,33,0
52,Britain to restrict immigrants from new EU members,7,8,7,0,4,0
53,Confusion Reigns In the Expanding Digital World,3,0,0,0,0,16
54,Game on! London exhibition celebrates the history of video games,0,0,0,70,0,6
55,Making peace from victory over poverty,0,0,10,63,16,0
56,Marine killed in fighting west of Baghdad,24,0,44,0,50,0
57,Scientists create first cloaking device,0,0,0,17,0,17
58,Amateur rocket scientists reach for space,0,0,0,12,0,9
59,Confusion Reigns In the Expanding Digital World,6,0,6,0,6,19
60,Deaths linked to flu vaccine,37,9,57,0,66,21
61,Israel admits using phosphorous shells in Lebanon,54,47,6,0,59,16
62,4th person dies after receiving flu shot,39,0,56,0,57,0
63,Police and shoppers targeted in growing Iraq violence,45,38,75,0,53,0
64,Scientists discover miracle in the depths,0,0,3,21,0,47
65,Doctors Seeing Patients Who Think They're Internet Addicted,0,0,0,9,16,12
66,China launches two satellites into orbit,0,0,0,30,0,6
67,Vegetables May Boost Brain Power in Older Adults,0,0,5,24,0,25
68,Hurricane Paul nears Category 3 status,0,0,68,0,23,6
69,"Russian ship sinks, 18-member crew missing",5,0,60,0,71,0
70,Iran's president urges higher birth rate,0,1,0,2,0,13
71,Apple set for massive market gains,0,0,0,26,0,6
72,Tumor Types May Explain Survival Rates for Cancer,0,0,9,14,24,6
73,Routine mission turns into hunt for missing comrade,3,0,16,0,26,20
74,Bad weather slows S.Korean search for Russian ship,6,16,2,0,42,0
75,Tailors and housewives busy as Muslims celebrate Eid,8,0,0,54,21,0
76,Active peace brings the promise of development,0,0,0,87,0,0
77,Abbas condemns Israeli massacre in northern Gaza Strip,70,74,70,0,51,0
78,"Bangladesh ferry sinks, 15 dead",24,0,16,0,85,0
79,Bucs find a new kick in life,0,0,0,20,0,17
80,Google to unveil election mashup,0,0,0,10,0,16
81,Police warn of child exploitation online,52,64,50,0,43,0
82,Breast Cancer Awareness is Important,0,0,31,0,12,0
83,Hungary police tackle violent protestors,18,0,16,3,27,0
84,Three drivers had reason to be proud in Brazil,0,0,0,44,0,0
85,Celebrities Protest Malibu Gas Facility,25,0,0,27,27,0
86,Lebo: A life lived on the edge,0,0,0,0,0,0
